Monero 'Wolfram Warptangent' (v0.10.0.0-release)
Logging at log level 2 to /home/athan/dev/moneybit/hmonero/bar.log
2016-Oct-05 22:52:45.552828 Skipped block by height: 353000
2016-Oct-05 22:52:45.552908 Skipped block by height: 354000
2016-Oct-05 22:52:45.552988 Skipped block by height: 355000
2016-Oct-05 22:52:45.553069 Skipped block by height: 356000
2016-Oct-05 22:52:45.553150 Skipped block by height: 357000
2016-Oct-05 22:52:45.553226 Skipped block by height: 358000
2016-Oct-05 22:52:45.553302 Skipped block by height: 359000
2016-Oct-05 22:52:45.984739 Skipped block by height: 360000
2016-Oct-05 22:52:45.985000 Skipped block by height: 361000
2016-Oct-05 22:52:45.985088 Skipped block by height: 362000
2016-Oct-05 22:52:45.985169 Skipped block by height: 363000
2016-Oct-05 22:52:45.985254 Skipped block by height: 364000
2016-Oct-05 22:52:45.985339 Skipped block by height: 365000
2016-Oct-05 22:52:45.985424 Skipped block by height: 366000
2016-Oct-05 22:52:45.985545 Skipped block by height: 367000
2016-Oct-05 22:52:45.985632 Skipped block by height: 368000
2016-Oct-05 22:52:45.985716 Skipped block by height: 369000
2016-Oct-05 22:52:46.433274 Skipped block by height: 370000
2016-Oct-05 22:52:46.433571 Skipped block by height: 371000
2016-Oct-05 22:52:46.433638 Skipped block by height: 372000
2016-Oct-05 22:52:46.433701 Skipped block by height: 373000
2016-Oct-05 22:52:46.433764 Skipped block by height: 374000
2016-Oct-05 22:52:46.433828 Skipped block by height: 375000
2016-Oct-05 22:52:46.433891 Skipped block by height: 376000
2016-Oct-05 22:52:46.433954 Skipped block by height: 377000
2016-Oct-05 22:52:46.434317 Skipped block by height: 378000
2016-Oct-05 22:52:46.434352 Skipped block by height: 379000
2016-Oct-05 22:52:46.821951 Skipped block by height: 380000
2016-Oct-05 22:52:46.822256 Skipped block by height: 381000
2016-Oct-05 22:52:46.822343 Skipped block by height: 382000
2016-Oct-05 22:52:46.822428 Skipped block by height: 383000
2016-Oct-05 22:52:46.822515 Skipped block by height: 384000
2016-Oct-05 22:52:46.822605 Skipped block by height: 385000
2016-Oct-05 22:52:46.822696 Skipped block by height: 386000
2016-Oct-05 22:52:46.822787 Skipped block by height: 387000
2016-Oct-05 22:52:46.822876 Skipped block by height: 388000
